case_id,run_name,st1_frequency,st2_frequency,trial_file,st1_file,st2_file,case_dir
347,st1_91_hz__st2_271_hz__trial_3,91_hz,271_hz,trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/271_hz/trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_271_hz__trial_3
348,st1_91_hz__st2_271_hz__trial_4,91_hz,271_hz,trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/271_hz/trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_271_hz__trial_4
349,st1_91_hz__st2_271_hz__trial_5,91_hz,271_hz,trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/271_hz/trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_271_hz__trial_5
350,st1_91_hz__st2_301_hz__trial_1,91_hz,301_hz,trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/301_hz/trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_301_hz__trial_1
351,st1_91_hz__st2_301_hz__trial_2,91_hz,301_hz,trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/301_hz/trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_301_hz__trial_2
352,st1_91_hz__st2_301_hz__trial_3,91_hz,301_hz,trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/301_hz/trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_301_hz__trial_3
353,st1_91_hz__st2_301_hz__trial_4,91_hz,301_hz,trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/301_hz/trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_301_hz__trial_4
354,st1_91_hz__st2_301_hz__trial_5,91_hz,301_hz,trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/301_hz/trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_301_hz__trial_5
355,st1_91_hz__st2_331_hz__trial_1,91_hz,331_hz,trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/331_hz/trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_331_hz__trial_1
356,st1_91_hz__st2_331_hz__trial_2,91_hz,331_hz,trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/331_hz/trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_331_hz__trial_2
357,st1_91_hz__st2_331_hz__trial_3,91_hz,331_hz,trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/331_hz/trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_331_hz__trial_3
358,st1_91_hz__st2_331_hz__trial_4,91_hz,331_hz,trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/331_hz/trial_4.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_331_hz__trial_4
359,st1_91_hz__st2_331_hz__trial_5,91_hz,331_hz,trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/331_hz/trial_5.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_331_hz__trial_5
360,st1_91_hz__st2_361_hz__trial_1,91_hz,361_hz,trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/361_hz/trial_1.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_361_hz__trial_1
361,st1_91_hz__st2_361_hz__trial_2,91_hz,361_hz,trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/361_hz/trial_2.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_361_hz__trial_2
362,st1_91_hz__st2_361_hz__trial_3,91_hz,361_hz,trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_1/91_hz/trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/processing/sim_run_code/spike_train_output/st_2/361_hz/trial_3.pwl,/home/s5117909/Documents/thesis/thesis_codebase/thesis_database/20260527_150515_2channel_1syn_plain/cases/st1_91_hz__st2_361_hz__trial_3
